,Bruteforce,DDoS,Deauthentication,DoS,Evil Twin,Fakelanding,GPS Jamming,Normal,Reconnaissance,Replay,Scanning
Bruteforce,0.9999999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDoS,0.0,0.9999999999999762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deauthentication,0.0,0.0,0.9999999999999843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.9999999999999909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evil Twin,0.0,0.0,0.0,0.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.0,0.0
Fakelanding,0.0,0.0,0.0,0.0,0.0,0.9999999999999792,0.0,0.0,0.0,0.0,0.0
GPS Jamming,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999988,0.0,0.0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999975,0.0,0.0
Replay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999414,0.0
Scanning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956
