class,instance_index,predicted_class,prob_for_class,confidence,lime_png,probs_png,threshold_png,threshold
Bruteforce,92914,Bruteforce,0.9999996070201621,0.9999996070201621,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/lime_Bruteforce.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/probs_Bruteforce.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/threshold_Bruteforce.png,0.5
DDoS,32860,DDoS,0.9999998855678891,0.9999998855678891,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/lime_DDoS.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/probs_DDoS.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/threshold_DDoS.png,0.7
Deauthentication,70140,DoS,4.023427452615013e-08,0.9999999352026359,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/lime_Deauthentication.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/probs_Deauthentication.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/threshold_Deauthentication.png,0.6
DoS,18281,DoS,0.9999999941901858,0.9999999941901858,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/lime_DoS.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/probs_DoS.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/threshold_DoS.png,0.7
Evil Twin,157502,MITM,2.2130354489063893e-09,0.9999948224789582,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/lime_Evil_Twin.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/probs_Evil_Twin.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/threshold_Evil_Twin.png,0.7
Fake Landing,1420,Fake Landing,0.9999999862741404,0.9999999862741404,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/lime_Fake_Landing.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/probs_Fake_Landing.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/threshold_Fake_Landing.png,0.7
MITM,111520,MITM,0.9999999912456635,0.9999999912456635,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/lime_MITM.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/probs_MITM.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/threshold_MITM.png,0.7
Normal,18068,Normal,0.9999966432907103,0.9999966432907103,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/lime_Normal.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/probs_Normal.png,,9.99
Reconnaissance,143625,Reconnaissance,0.9999998426689644,0.9999998426689644,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/lime_Reconnaissance.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/probs_Reconnaissance.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/threshold_Reconnaissance.png,0.6
Scanning,18078,Scanning,0.9999999999132816,0.9999999999132816,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/lime_Scanning.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/probs_Scanning.png,/content/drive/MyDrive/maindata/output2/lime_reports/gcscase3/threshold_Scanning.png,0.5
