iteration,validation_score
0,1.8644191556252998
1,1.5827837069484467
2,1.369654013116613
3,1.203819791952833
4,1.068911750212792
5,0.9519381393763989
6,0.8516469398096893
7,0.7645987622373674
8,0.6895431621765933
9,0.6220352999923667
10,0.5628160546368873
11,0.5097441606663027
12,0.46177189136011026
13,0.41902360358247714
14,0.38037800945924066
15,0.34545979026061474
16,0.3138454405079196
17,0.2858681888850035
18,0.26017037604949583
19,0.2367229296986022
20,0.21560703747719545
21,0.19639636989229875
22,0.178840557393591
23,0.1630641317947878
24,0.1485007368031489
25,0.13559753702883767
26,0.1236672592349434
27,0.11301146428017092
28,0.10299189124612664
29,0.09396606342062648
30,0.08593787326794625
31,0.07834295664488347
32,0.07141402559571242
33,0.06515441653822104
34,0.05943510999379055
35,0.05418918820211598
36,0.0495146608593095
37,0.045156820845298956
38,0.041209715115129664
39,0.03759418695971683
40,0.034282299449529076
41,0.03126670960021419
42,0.028536022388678393
43,0.026126311473178232
44,0.023875335582335146
45,0.021795731434024253
46,0.019937897796103006
47,0.018229606063384043
48,0.016688542874934376
49,0.015237122830707536
50,0.013913272554847091
51,0.012709152010591784
52,0.011596857805255172
53,0.010593174169557353
54,0.0097000415523817
55,0.008852150900595183
56,0.008081527346089084
57,0.007376666247518809
58,0.0067389412654516615
59,0.006159589974504711
60,0.0056287011776674865
61,0.0051418635979139145
62,0.004696941840028128
63,0.004303280216983794
64,0.003939709876981907
65,0.0036024307833973602
66,0.003293187763280371
67,0.003010557697116055
68,0.002753770967688103
69,0.0025214744705793885
70,0.0023188535549240183
71,0.0021216262372746606
72,0.0019447519488876167
73,0.0017797430130949885
74,0.0016290734357535322
75,0.0014934329153299317
76,0.0013772825790542285
77,0.0012631511179115936
78,0.001159543121992558
79,0.00106334772171444
80,0.0009761381160142205
81,0.0008949346206782251
82,0.0008213426588868815
83,0.0007549692433511216
84,0.0006932125117516611
85,0.0006396391676349098
86,0.0005897768640619749
87,0.0005418869736514966
88,0.0004999519621905398
89,0.0004606995588252293
90,0.0004248945936666061
91,0.00039209301732191223
92,0.00036197967732743796
93,0.00033475857541092366
94,0.00031003017752814874
95,0.0002899111411970284
96,0.00026800749046006526
97,0.00024855310106278655
98,0.00023101542917569547
99,0.00021528631958962893
100,0.00020162886091688555
101,0.00018746642997015704
102,0.00017465460358130784
103,0.00016375246990220263
104,0.00015335080508460392
105,0.00014439611898975528
106,0.00013550996881797256
107,0.00012715557554672456
108,0.0001195846490971436
109,0.0001125935827454758
110,0.00010685238522089384
111,0.00010068235262658579
112,9.507714771243518e-05
113,8.982237848540072e-05
114,8.525758823163652e-05
115,8.114799876328968e-05
116,7.712582852965998e-05
117,7.344954769278551e-05
118,7.014695284609592e-05
119,6.692603420749718e-05
120,6.420217273050399e-05
121,6.155092019001776e-05
122,5.913220975137383e-05
123,5.6936223331241614e-05
124,5.4896192726251087e-05
125,5.281296766609128e-05
126,5.097847489216884e-05
127,4.947798508518324e-05
128,4.804489721378399e-05
129,4.635646899926264e-05
130,4.474557984828451e-05
