Class,Precision,Recall,F1-Score,Support
Bruteforce,1.0,1.0,1.0,2032
DDoS,1.0,1.0,1.0,38565
Deauthentication,0.0045351473922902496,0.03787878787878788,0.008100445524503848,264
DoS,0.997676120768527,0.9801182836290424,0.9888192674942645,111258
Evil Twin,0.5581395348837209,0.8571428571428571,0.676056338028169,28
Fake Landing,0.9568965517241379,0.9327731092436975,0.9446808510638298,119
MITM,0.9550224887556222,0.9622356495468278,0.9586155003762227,662
Normal,0.9166666666666666,1.0,0.9565217391304348,22
Reconnaissance,0.5001447178002895,0.6029309141660851,0.546748932130992,2866
Scanning,0.8633413461538462,0.8060823701043653,0.8337299054030526,8911
